feature,iv,strength
P_2,3.6610736366982604,Suspicious
D_48,2.369036973936229,Suspicious
B_18,2.1443485409682457,Suspicious
B_7,2.0902927654313315,Suspicious
B_23,2.044671127672986,Suspicious
D_61,2.027890530642473,Suspicious
B_10,2.006789981975341,Suspicious
D_75,1.9938697771876273,Suspicious
B_9,1.9555160902809967,Suspicious
B_2,1.8769188235925074,Suspicious
B_6,1.862122809670896,Suspicious
B_3,1.8424969884604119,Suspicious
D_44,1.8120973946939976,Suspicious
B_1,1.799322639972079,Suspicious
B_37,1.7740049153109674,Suspicious
D_55,1.763120067683278,Suspicious
B_11,1.7116705116955981,Suspicious
D_62,1.6034055302343868,Suspicious
B_4,1.5619396431287549,Suspicious
B_40,1.5367350249929563,Suspicious
B_20,1.528972320159262,Suspicious
D_74,1.525509176204452,Suspicious
B_33,1.4967835297236178,Suspicious
D_58,1.4927719263641956,Suspicious
B_16,1.2770710015513647,Suspicious
B_19,1.188347532609122,Suspicious
R_1,1.0324376631940289,Suspicious
D_77,0.9993821120018959,Suspicious
S_3,0.9640393854796909,Suspicious
S_7,0.8925603189668772,Suspicious
B_28,0.8714150801587288,Suspicious
B_14,0.8612917560927449,Suspicious
D_52,0.814917189384951,Suspicious
B_22,0.8104571909110683,Suspicious
B_25,0.8032024595537839,Suspicious
S_22,0.7801286351187098,Suspicious
D_41,0.7592448414736613,Suspicious
S_23,0.73774748691017,Suspicious
D_78,0.7106788230649018,Suspicious
P_3,0.6931868464449762,Suspicious
D_60,0.6856695060321724,Suspicious
S_25,0.674242000385598,Suspicious
S_24,0.6413313787927323,Suspicious
D_51,0.6353782776776313,Suspicious
D_112,0.5975988467398397,Suspicious
D_45,0.5971327262209531,Suspicious
D_39,0.5816784307590632,Suspicious
R_2,0.5766418521619368,Suspicious
D_47,0.5238746053404044,Suspicious
D_70,0.5217900313369968,Suspicious
D_43,0.5164808769081997,Suspicious
B_8,0.49008044898687997,Strong
D_127,0.45881995545161697,Strong
B_26,0.40907230514242865,Strong
D_65,0.40573589912651187,Strong
R_27,0.4038665023255161,Strong
S_8,0.39995429527228127,Strong
B_5,0.37831612673674675,Strong
R_6,0.3737511056473412,Strong
R_3,0.3582206561798584,Strong
D_46,0.35663150543783934,Strong
D_84,0.3461987830316529,Strong
D_71,0.34223652793119685,Strong
S_27,0.3245545071391498,Strong
D_59,0.3080854774401537,Strong
R_10,0.2814856644393395,Medium
R_5,0.27807023468506614,Medium
B_12,0.27586639632850884,Medium
S_15,0.27292548922661164,Medium
D_79,0.2589525145507638,Medium
R_4,0.2588528818155482,Medium
R_7,0.25295379382306493,Medium
D_131,0.24614497441910016,Medium
D_130,0.2331933531238432,Medium
D_72,0.22706108123457364,Medium
S_5,0.2217049340057302,Medium
D_115,0.21715164823683308,Medium
B_13,0.2058579046656173,Medium
D_118,0.19088812584382664,Medium
D_81,0.19012422074969065,Medium
D_119,0.1885723543800411,Medium
D_133,0.1878757950971989,Medium
D_121,0.17387360240633631,Medium
D_128,0.17061044452465907,Medium
D_122,0.16704099190420124,Medium
R_8,0.1570490321570725,Medium
S_13,0.1546906134579687,Medium
D_92,0.15140666955073176,Medium
D_113,0.14099878502876215,Medium
D_54,0.13665388952487256,Medium
D_91,0.13300413661204818,Medium
P_4,0.13203164151064867,Medium
S_26,0.1004197687249281,Medium
D_129,0.09093542823584606,Medium
D_102,0.08896632221379733,Medium
S_6,0.08283902319227436,Medium
D_107,0.08214279580727557,Medium
D_104,0.07814453978297647,Medium
D_103,0.07616988468773268,Medium
D_145,0.07501815438302956,Medium
D_139,0.07040801569519581,Medium
D_141,0.07035160118493355,Medium
D_143,0.06946541281527263,Medium
B_24,0.060641807945373716,Medium
S_12,0.05568915978138677,Medium
R_16,0.051335504499479684,Medium
S_11,0.05101596007472525,Medium
R_13,0.050094988314329236,Medium
R_12,0.04885716633443223,Medium
R_20,0.0469834585084922,Medium
R_14,0.04499794110358945,Medium
R_24,0.04418854137201667,Medium
R_15,0.041801186919715266,Medium
D_89,0.034893145881077725,Medium
B_21,0.03004808980021072,Medium
S_16,0.028899905718036425,Medium
D_124,0.028028078302689302,Medium
R_21,0.022411955338750716,Medium
B_41,0.021658057826725363,Medium
D_125,0.020522165767224376,Medium
B_32,0.02004645612976205,Medium
D_69,0.018804851392770192,Not useful
R_17,0.018554786204313663,Not useful
D_140,0.01734805756897463,Not useful
R_19,0.016990490637420953,Not useful
R_11,0.01634443524050669,Not useful
D_80,0.013266395697255975,Not useful
D_83,0.01232768949262802,Not useful
S_20,0.01147912308298579,Not useful
S_9,0.010762253922908487,Not useful
D_123,0.007427441506136973,Not useful
D_86,0.007311540448989174,Not useful
D_96,0.0064973984594070035,Not useful
D_94,0.004652764045072709,Not useful
B_15,0.003339913226330405,Not useful
R_25,0.002147477167635918,Not useful
S_17,0.002127798838738211,Not useful
B_36,0.0011875768392377187,Not useful
R_22,0.0011555004241420453,Not useful
B_27,0.0011313895538381854,Not useful
D_93,0.0004859492342466106,Not useful
D_144,0.0004628613818360546,Not useful
D_109,0.0002489831075013646,Not useful
S_19,0.00024324347930604033,Not useful
R_28,0.00018297331217367974,Not useful
R_23,0.00012046910168348985,Not useful
R_18,0.00011323280798936926,Not useful
S_18,4.586946607734776e-05,Not useful
B_31,0.0,Not useful
